time,X_value,Y_value,Z_value
Started:,Oct 14 2017,16:09:29:362, 
3.8541,-0.83067,1.51537,9.66260
3.8763,-0.76953,1.52351,9.68787
3.8766,-0.75381,1.52484,9.64607
3.8830,-0.81999,1.50635,9.61958
3.8928,-0.79871,1.52496,9.64026
3.9028,-0.76967,1.53467,9.54265
3.9123,-0.75935,1.51451,9.46222
3.9228,-0.80154,1.53316,9.45406
3.9330,-0.83807,1.51155,9.46138
3.9484,-0.80461,1.48997,9.56961
3.9588,-0.77498,1.49222,9.67599
3.9686,-0.76524,1.48442,9.73053
3.9843,-0.78725,1.48354,9.68465
4.0028,-0.79565,1.48250,9.63589
4.0030,-0.77051,1.49854,9.65933
4.0078,-0.76564,1.52412,9.71158
4.0163,-0.79489,1.49228,9.68494
4.0260,-0.82823,1.47423,9.67574
4.0358,-0.83258,1.49014,9.72458
4.0458,-0.77623,1.47632,9.74547
4.0557,-0.76520,1.52754,9.65886
4.0667,-0.78983,1.50157,9.57144
4.0772,-0.77956,1.49651,9.54128
4.0867,-0.78525,1.51266,9.48938
4.0968,-0.77592,1.49480,9.46053
4.1063,-0.78055,1.50290,9.51018
4.1163,-0.79050,1.47972,9.61450
4.1297,-0.80811,1.48401,9.68083
4.1354,-0.82620,1.46236,9.74081
4.1444,-0.81702,1.47824,9.77357
4.1545,-0.75436,1.50882,9.71538
4.1646,-0.76674,1.48833,9.69765
4.1747,-0.77846,1.51189,9.59779
4.1850,-0.76692,1.50990,9.56401
4.1953,-0.81467,1.48669,9.59856
4.2053,-0.83714,1.49863,9.61926
4.2152,-0.78447,1.51505,9.58257
4.2252,-0.79219,1.52591,9.54143
4.2393,-0.77844,1.51633,9.51964
4.2452,-0.77304,1.52206,9.57701
4.2741,-0.80698,1.48824,9.69481
4.2743,-0.79871,1.50513,9.75949
4.2748,-0.76494,1.54710,9.71523
4.2835,-0.79501,1.53625,9.65492
4.2938,-0.82961,1.53047,9.58295
4.3034,-0.79230,1.54430,9.55615
4.3131,-0.75957,1.52403,9.60664
4.3236,-0.79510,1.48041,9.70401
4.3339,-0.79388,1.47089,9.71144
4.3438,-0.79616,1.47227,9.63748
4.3541,-0.79898,1.48238,9.59103
4.3637,-0.80219,1.49220,9.57774
4.4003,-0.76064,1.53249,9.55682
4.4005,-0.76218,1.55217,9.50569
4.4005,-0.77167,1.52440,9.48672
4.4018,-0.78255,1.51250,9.57620
4.4116,-0.83516,1.49266,9.63367
4.4221,-0.81412,1.47055,9.64386
4.4313,-0.81134,1.46738,9.65800
4.4424,-0.81668,1.45819,9.73700
4.4527,-0.82762,1.47876,9.70486
4.4628,-0.79576,1.47247,9.70554
4.4720,-0.81664,1.49326,9.68604
4.4823,-0.78564,1.47821,9.67325
4.4954,-0.75723,1.53696,9.66766
4.5018,-0.78664,1.54477,9.66597
4.5225,-0.81958,1.54010,9.64694
4.5227,-0.78127,1.55637,9.67490
4.5315,-0.74591,1.59441,9.69119
4.5413,-0.74689,1.59052,9.61055
4.5501,-0.78261,1.55927,9.54538
4.5610,-0.80032,1.53995,9.49773
4.5713,-0.82153,1.51134,9.60037
4.5806,-0.82219,1.47975,9.68407
4.5903,-0.80539,1.44774,9.74452
4.6006,-0.78728,1.44748,9.73251
4.6104,-0.79881,1.43768,9.68546
4.6206,-0.79921,1.45322,9.61446
4.6304,-0.77721,1.47910,9.53264
4.6613,-0.78854,1.50557,9.50111
4.6614,-0.81458,1.50572,9.51445
4.6615,-0.80121,1.49550,9.49966
4.6688,-0.82571,1.51048,9.50247
4.6787,-0.81152,1.46248,9.60716
4.6886,-0.84216,1.49461,9.69482
4.6989,-0.80536,1.49695,9.71970
4.7093,-0.78549,1.54694,9.77936
4.7193,-0.81175,1.53308,9.73177
4.7343,-0.79025,1.54773,9.66898
4.7440,-0.77977,1.58769,9.55278
4.7542,-0.74025,1.57127,9.55833
4.7687,-0.74857,1.59158,9.51309
4.7743,-0.77974,1.53473,9.60759
4.7837,-0.79572,1.50232,9.74966
4.7938,-0.85265,1.50551,9.76341
4.8021,-0.84435,1.50076,9.71049
4.8119,-0.80698,1.53067,9.68019
4.8232,-0.81770,1.55429,9.58414
4.8328,-0.81581,1.55655,9.46838
4.8433,-0.75974,1.58997,9.38898
4.8576,-0.75233,1.51952,9.57304
4.8681,-0.81337,1.47897,9.65224
4.8802,-0.76474,1.48235,9.75566
4.8877,-0.81845,1.45461,9.71204
4.9074,-0.82718,1.50117,9.58049
4.9075,-0.79852,1.49449,9.51993
4.9166,-0.82062,1.50490,9.56052
4.9257,-0.82559,1.51402,9.67566
4.9355,-0.78961,1.51869,9.69519
4.9464,-0.78157,1.55432,9.74173
4.9565,-0.77888,1.49213,9.63667
4.9669,-0.81197,1.52167,9.60069
4.9771,-0.81592,1.49266,9.53868
4.9855,-0.83171,1.48203,9.65121
4.9952,-0.82239,1.51369,9.58662
5.0057,-0.86488,1.47327,9.62036
5.0158,-0.78218,1.49954,9.61092
5.0392,-0.79102,1.49585,9.59605
5.0396,-0.82472,1.48758,9.64319
5.0454,-0.81371,1.50188,9.74756
5.0545,-0.81392,1.49757,9.70326
5.0642,-0.80905,1.52252,9.61337
5.0741,-0.81947,1.54185,9.62808
5.0843,-0.82660,1.54832,9.61119
5.0940,-0.83150,1.52760,9.59059
5.1048,-0.83568,1.52245,9.64172
