time,X_value,Y_value,Z_value
Started:,Oct 14 2017,16:09:29:362, 
3.2384,4.72629,-8.82257,157.95074
3.2453,4.72402,-8.82910,157.94742
3.2555,4.72633,-8.83727,157.90590
3.2655,4.72696,-8.84268,157.88484
3.2752,4.72204,-8.84584,157.91092
3.2864,4.71829,-8.84868,157.92953
3.2966,4.71987,-8.85194,157.90807
3.3059,4.71984,-8.85800,157.88982
3.3156,4.71620,-8.86220,157.90350
3.3259,4.71255,-8.86067,157.93469
3.3401,4.70696,-8.85586,157.98996
3.3458,4.70740,-8.85043,158.00317
3.3759,4.71473,-8.84454,157.96790
3.3764,4.71842,-8.84208,157.94856
3.3767,4.72035,-8.84296,157.93193
3.3841,4.71655,-8.84929,157.94028
3.3931,4.71467,-8.85748,157.92896
3.4036,4.71726,-8.86117,157.89890
3.4133,4.72392,-8.85719,157.86269
3.4243,4.73078,-8.84600,157.84708
3.4343,4.73061,-8.83870,157.87051
3.4443,4.72320,-8.83871,157.92419
3.4538,4.72759,-8.84486,157.87367
3.4642,4.73139,-8.85462,157.81639
3.4838,4.73226,-8.85839,157.79851
3.4897,4.73035,-8.85171,157.83278
3.4991,4.73901,-8.84461,157.79170
3.5090,4.74444,-8.84044,157.76523
3.5184,4.73576,-8.84331,157.81921
3.5286,4.71863,-8.84711,157.93179
3.5383,4.71321,-8.84848,157.96692
3.5478,4.71671,-8.84452,157.95357
3.5589,4.72740,-8.83758,157.89717
3.5674,4.73769,-8.82217,157.86957
3.5782,4.74060,-8.80997,157.88554
3.5881,4.73439,-8.80961,157.93140
3.5988,4.72628,-8.81821,157.96393
3.6242,4.71644,-8.83492,157.98457
3.6243,4.70619,-8.85049,158.01184
3.6263,4.69823,-8.85803,158.04683
3.6356,4.69361,-8.85585,158.08705
3.6456,4.69006,-8.85302,158.12149
3.6553,4.69064,-8.85022,158.12573
3.6657,4.69735,-8.84335,158.09772
3.6760,4.69893,-8.83766,158.10335
3.6861,4.69206,-8.83222,158.16965
3.6966,4.69091,-8.83040,158.18344
3.7067,4.69304,-8.82538,158.18312
3.7164,4.69431,-8.82384,158.17853
3.7267,4.69569,-8.82806,158.15579
3.7371,4.70464,-8.83785,158.06140
3.7467,4.70702,-8.85272,157.99905
3.7542,4.70851,-8.87022,157.93491
3.7639,4.71150,-8.88459,157.86928
3.7737,4.70949,-8.88787,157.87384
3.7844,4.69840,-8.88635,157.95941
3.7949,4.69631,-8.87918,157.99658
3.8048,4.70583,-8.86978,157.95587
3.8145,4.71127,-8.86047,157.94464
3.8247,4.71013,-8.85651,157.96497
3.8351,4.70723,-8.86563,157.95828
3.8448,4.70442,-8.87541,157.94893
3.8543,4.70198,-8.88444,157.93918
3.8764,4.69879,-8.89122,157.94170
3.8768,4.70329,-8.89587,157.89458
3.8831,4.71165,-8.89854,157.82530
3.8938,4.71763,-8.90466,157.76279
3.9029,4.71778,-8.91564,157.72781
3.9124,4.71456,-8.92691,157.71643
3.9280,4.71262,-8.93762,157.69733
3.9381,4.71704,-8.93318,157.67882
3.9478,4.71786,-8.92291,157.70470
3.9590,4.71071,-8.91537,157.78033
3.9685,4.70526,-8.90962,157.83789
3.9843,4.69999,-8.90980,157.87590
4.0028,4.69718,-8.90826,157.90121
4.0030,4.69431,-8.90618,157.92859
4.0078,4.69446,-8.90353,157.93564
4.0163,4.70189,-8.90059,157.89038
4.0260,4.70782,-8.89950,157.85036
4.0361,4.70991,-8.89918,157.83601
4.0457,4.70871,-8.90108,157.83894
4.0556,4.71143,-8.90921,157.79401
4.0673,4.71416,-8.91650,157.75157
4.0772,4.71134,-8.92383,157.74956
4.0877,4.71075,-8.93156,157.72993
4.0970,4.70651,-8.93469,157.75128
4.1109,4.70099,-8.93468,157.79181
4.1164,4.69951,-8.92858,157.82152
4.1298,4.70067,-8.92129,157.83556
4.1354,4.70423,-8.91095,157.84135
4.1445,4.70491,-8.90686,157.84897
4.1546,4.70030,-8.90997,157.87314
4.1644,4.69812,-8.91533,157.87257
4.1746,4.70078,-8.92394,157.82657
4.1852,4.70420,-8.93073,157.78043
4.1953,4.71237,-8.93451,157.70894
4.2054,4.71753,-8.93948,157.65559
4.2154,4.71215,-8.94838,157.66731
4.2252,4.70182,-8.95854,157.71158
4.2392,4.69500,-8.96260,157.74911
4.2453,4.69698,-8.96045,157.74115
4.2740,4.70443,-8.95103,157.71581
4.2743,4.70665,-8.94746,157.71054
4.2748,4.70008,-8.95567,157.73329
4.2835,4.69412,-8.96744,157.74054
4.2938,4.69387,-8.97639,157.71446
4.3035,4.69329,-8.98221,157.70047
4.3131,4.69039,-8.98141,157.72435
4.3236,4.69426,-8.97335,157.72104
4.3343,4.70186,-8.96576,157.68877
4.3437,4.71186,-8.96114,157.62962
4.3594,4.71474,-8.96192,157.60599
4.3700,4.70885,-8.96768,157.63129
4.4004,4.70108,-8.97589,157.66281
4.4005,4.70022,-8.98114,157.65273
4.4006,4.70146,-8.97775,157.65416
4.4069,4.70769,-8.97106,157.62921
4.4163,4.71263,-8.95923,157.62993
4.4267,4.71460,-8.94885,157.64790
4.4367,4.71256,-8.93946,157.69211
4.4478,4.71309,-8.93144,157.71313
4.4582,4.71415,-8.92868,157.71390
4.4678,4.70947,-8.92940,157.74600
4.4777,4.70786,-8.93056,157.75417
4.4873,4.70418,-8.93213,157.77629
4.4970,4.70460,-8.93719,157.75751
4.5223,4.71183,-8.94097,157.69270
4.5226,4.71485,-8.94429,157.66026
4.5271,4.70865,-8.94996,157.68813
4.5374,4.69899,-8.96475,157.71298
4.5453,4.69524,-8.98120,157.68924
4.5551,4.69961,-8.99409,157.61653
4.5660,4.70299,-8.99872,157.57701
4.5760,4.70627,-8.99564,157.56248
4.5859,4.70616,-8.98845,157.58592
4.5955,4.70330,-8.98108,157.63014
4.6059,4.70314,-8.97754,157.64250
4.6153,4.70735,-8.97681,157.61375
4.6263,4.71254,-8.97844,157.57033
4.6354,4.71771,-8.97983,157.52791
4.6613,4.72254,-8.98007,157.49162
4.6615,4.72729,-8.97960,157.45821
4.6638,4.72617,-8.97891,157.46858
4.6738,4.72771,-8.97673,157.46414
4.6835,4.73263,-8.97048,157.44771
4.6937,4.74431,-8.96518,157.37877
4.7038,4.74966,-8.96091,157.35304
4.7144,4.74653,-8.96335,157.36827
4.7241,4.74025,-8.97038,157.39214
4.7345,4.73214,-8.98342,157.41043
4.7441,4.72743,-8.99806,157.39871
4.7541,4.72667,-9.00663,157.37718
4.7688,4.73525,-9.01068,157.30095
4.7744,4.74609,-9.00392,157.24272
4.7838,4.75934,-8.99340,157.17891
4.7981,4.78443,-8.98811,157.01205
4.8072,4.78690,-8.99425,156.97423
4.8179,4.78452,-9.00813,156.94702
4.8280,4.78529,-9.02456,156.88829
4.8402,4.78044,-9.03788,156.88074
4.8491,4.77334,-9.04065,156.92390
4.8585,4.77018,-9.03616,156.96182
4.8682,4.77189,-9.02711,156.97841
4.8803,4.77230,-9.02139,156.99394
4.8877,4.77710,-9.01903,156.96625
4.9073,4.78245,-9.02450,156.90930
4.9075,4.78427,-9.02345,156.89935
4.9165,4.78845,-9.01565,156.89392
4.9257,4.79137,-9.00659,156.90178
4.9355,4.78804,-9.00249,156.93941
4.9464,4.78313,-9.00712,156.96043
4.9566,4.77999,-9.01239,156.96651
4.9667,4.78052,-9.01970,156.93903
4.9772,4.78380,-9.02027,156.91309
4.9856,4.78217,-9.01616,156.93826
4.9951,4.78244,-9.01879,156.92781
5.0058,4.78480,-9.01793,156.91330
5.0160,4.78669,-9.01555,156.90717
5.0393,4.79668,-9.00788,156.85880
5.0396,4.80450,-8.99720,156.83612
