id,a,b,mu,sigma2,depthRange,count,x,tau2,depTau,zNoise,angle,ang
172,12.452408,9.697387,0.638739,0.000006,1.223280,5,0.637727,0.000001,0.000000,0.607546,30.300397,89.427745
173,11.529898,9.716420,0.517621,0.000122,0.994706,5,0.516199,0.000001,0.000000,0.320903,32.424617,89.114369
174,11.529093,9.716276,0.586105,0.000157,1.122771,5,0.584933,0.000001,0.000000,0.420305,33.078766,89.119435
177,10.275275,9.884088,0.563644,0.009985,1.095635,2,0.568051,0.000001,0.000000,0.623924,25.254788,89.299140
179,10.274324,9.884200,0.482933,0.007305,0.934589,2,0.488151,0.000001,0.000000,0.361889,25.034758,88.911109
174,12.452004,9.697534,0.584967,0.000005,1.122771,6,0.586016,0.000001,0.000000,0.396200,34.647525,89.079714
175,10.276070,9.884049,0.489585,0.007562,0.955557,6,0.498749,0.000001,0.000000,1.717406,12.542473,89.790467
177,10.778192,9.777241,0.567256,0.001805,1.095635,3,0.569712,0.000001,0.000000,0.585220,27.253797,89.297395
182,10.000000,10.000000,0.491139,0.026802,0.982278,1,0.514629,0.000001,0.000000,0.708004,20.732485,89.595352
183,10.000000,10.000000,0.494404,0.027159,0.988808,1,0.517129,0.000001,0.000000,0.441641,25.439423,89.535452
184,10.000000,10.000000,0.482169,0.025832,0.964339,1,0.509380,0.000001,0.000000,0.587764,20.758862,89.047251
185,10.000000,10.000000,0.462128,0.023729,0.924255,1,0.485148,0.000001,0.000000,0.717890,19.553986,89.779660
167,13.439109,9.694263,0.623722,0.000001,1.199693,7,0.623217,0.000001,0.000000,0.567603,33.307745,89.489731
174,13.436252,9.693991,0.585828,0.000001,1.122771,7,0.586407,0.000001,0.000000,0.370963,36.088623,89.046013
177,11.528719,9.716572,0.569511,0.000148,1.095635,4,0.569697,0.000001,0.000000,0.551023,29.057672,89.210643
179,10.775972,9.777202,0.487207,0.001327,0.934589,4,0.490567,0.000001,0.000000,0.298289,29.216722,88.823600
183,10.274589,9.884183,0.510387,0.008165,0.988808,2,0.517565,0.000001,0.000000,0.418437,28.132214,89.524544
185,10.274008,9.884276,0.478311,0.007159,0.924255,2,0.485093,0.000001,0.000000,0.667846,21.523732,89.757256
172,13.437043,9.693896,0.637884,0.000001,1.223280,8,0.638743,0.000001,0.000000,0.525000,33.981574,89.341806
186,10.000000,10.000000,0.397884,0.017590,0.795768,1,0.411272,0.000001,0.000000,0.173945,21.715629,88.151113
183,10.776026,9.777150,0.516265,0.001487,0.988808,4,0.516473,0.000001,0.000000,0.385990,32.955560,89.465390
184,10.272873,9.884429,0.501280,0.007845,0.964339,4,0.507840,0.000001,0.000000,0.446338,26.427393,89.027646
186,10.276228,9.884030,0.407312,0.005240,0.795768,2,0.409511,0.000001,0.000000,0.158483,24.248853,88.191514
188,10.000000,10.000000,0.374707,0.015601,0.749413,2,0.390512,0.000001,0.000000,0.170599,20.505407,88.486189
189,10.000000,10.000000,0.477274,0.025310,0.954547,2,0.496764,0.000001,0.000000,0.376572,26.638994,88.875560
190,10.000000,10.000000,0.453592,0.022861,0.907184,2,0.476887,0.000001,0.000000,0.241312,29.673991,88.875750
167,14.431230,9.692671,0.623484,0.000000,1.199693,10,0.622944,0.000001,0.000000,0.514464,36.770495,89.469880
172,14.428326,9.692102,0.638266,0.000000,1.223280,10,0.637195,0.000001,0.000000,0.489859,36.089748,89.348657
174,14.427770,9.692253,0.586086,0.000000,1.122771,10,0.584866,0.000001,0.000000,0.313561,39.858624,88.974737
179,11.524795,9.716148,0.490290,0.000110,0.934589,7,0.489687,0.000001,0.000000,0.232881,34.459484,88.830665
183,11.525728,9.716331,0.516456,0.000122,0.988808,5,0.516380,0.000001,0.000000,0.381345,35.149154,89.501258
185,10.774804,9.777159,0.483862,0.001306,0.924255,5,0.482848,0.000001,0.000000,0.583884,26.674343,89.657807
186,10.780186,9.777297,0.409115,0.000944,0.795768,3,0.409094,0.000001,0.000000,0.154661,26.651524,88.307208
188,10.275172,9.884158,0.385827,0.004676,0.749413,3,0.390021,0.000001,0.000000,0.155991,22.458407,88.563590
189,10.275330,9.884109,0.490990,0.007578,0.954547,3,0.497118,0.000001,0.000000,0.366365,29.098422,88.930563
190,10.273744,9.884300,0.469964,0.006907,0.907184,3,0.476413,0.000001,0.000000,0.249108,32.605567,88.940971
191,10.000000,10.000000,0.328562,0.011995,0.657125,1,0.332307,0.000001,0.000000,1.149261,10.891600,89.918314
192,10.000000,10.000000,0.417082,0.019329,0.834164,1,0.428275,0.000001,0.000000,0.563985,19.754533,89.652447
196,10.000000,10.000000,0.428422,0.020394,0.856845,1,0.441386,0.000001,0.000000,0.292896,24.382977,89.194608
167,15.424361,9.691391,0.623317,0.000000,1.199693,11,0.622167,0.000001,0.000000,0.504288,37.810913,89.477894
172,15.419240,9.690391,0.637936,0.000000,1.223280,11,0.636406,0.000001,0.000000,0.477531,37.072246,89.370278
179,12.447330,9.697308,0.489707,0.000004,0.934589,8,0.488953,0.000001,0.000000,0.222525,36.003737,88.887479
186,11.531941,9.716919,0.409095,0.000077,0.795768,4,0.408122,0.000001,0.000000,0.151709,28.937056,88.428866
189,10.777734,9.777194,0.496010,0.001375,0.954547,4,0.496488,0.000001,0.000000,0.358211,31.397075,88.980133
190,10.774410,9.777209,0.475243,0.001260,0.907184,4,0.475374,0.000001,0.000000,0.255523,35.369682,88.998871
191,10.277840,9.883820,0.331203,0.003540,0.657125,2,0.331126,0.000001,0.000000,1.079245,12.107888,89.921060
193,10.000000,10.000000,0.414788,0.019117,0.829575,2,0.425096,0.000001,0.000000,0.496886,19.021554,88.572866
196,10.276545,9.883953,0.437554,0.006063,0.856845,2,0.441278,0.000001,0.000000,0.301254,27.280218,89.270372
197,10.000000,10.000000,0.431153,0.020655,0.862306,2,0.441477,0.000001,0.000000,0.337763,23.592545,88.650071
167,16.414984,9.689806,0.623015,0.000000,1.199693,12,0.620763,0.000001,0.000000,0.496451,38.794913,89.480243
185,11.523820,9.716169,0.482932,0.000108,0.924255,7,0.479964,0.000001,0.000000,0.559988,29.609232,89.629037
186,12.455264,9.698242,0.408157,0.000003,0.795768,5,0.406910,0.000001,0.000000,0.151405,31.110673,88.531381
189,11.528209,9.716523,0.496449,0.000113,0.954547,5,0.495185,0.000001,0.000000,0.353210,33.538419,89.015420
190,11.523355,9.716218,0.475363,0.000104,0.907184,5,0.474025,0.000001,0.000000,0.262461,37.965911,89.029712
191,10.783568,9.777289,0.331140,0.000635,0.657125,3,0.329231,0.000001,0.000000,1.029728,13.230456,89.914978
196,10.780637,9.777239,0.440607,0.001093,0.856845,3,0.440680,0.000001,0.000000,0.309919,30.006649,89.311066
197,10.277126,9.883909,0.438429,0.006120,0.862306,3,0.440470,0.000001,0.000000,0.326799,25.822838,88.713155
198,10.000000,10.000000,0.369904,0.015203,0.739809,1,0.372419,0.000001,0.000000,0.153949,18.422798,88.817908
200,10.000000,10.000000,0.362357,0.014589,0.724714,1,0.361505,0.000001,0.000000,0.587465,15.883885,89.652070
202,10.000000,10.000000,0.337626,0.012666,0.675252,1,0.342417,0.000001,0.000000,0.145581,15.446920,88.945591
167,17.377012,9.683942,0.622503,0.000000,1.199693,13,0.618860,0.000001,0.000000,0.489534,39.730332,89.473131
179,13.430852,9.693565,0.489121,0.000001,0.934589,10,0.486293,0.000001,0.000000,0.209202,38.869035,88.986834
186,13.435142,9.693730,0.407247,0.000001,0.795768,6,0.405457,0.000001,0.000000,0.151231,33.191580,88.621983
189,12.451155,9.697785,0.495225,0.000004,0.954547,6,0.493544,0.000001,0.000000,0.349081,35.553839,89.029078
191,11.536154,9.717079,0.329388,0.000052,0.657125,4,0.327212,0.000001,0.000000,0.991474,14.274761,89.881388
193,10.277047,9.883910,0.422052,0.005667,0.829575,4,0.422653,0.000001,0.000000,0.439874,22.451399,88.688187
196,11.532502,9.716850,0.440674,0.000089,0.856845,4,0.439578,0.000001,0.000000,0.317139,32.568554,89.314672
197,10.782032,9.777272,0.440103,0.001100,0.862306,4,0.439087,0.000001,0.000000,0.317895,27.935574,88.750858
