id,z,znoise,tau
195,2.167171,1.839331,-2.978141
196,2.258866,0.331942,-3.119540
197,2.227207,1.438330,-3.040347
175,2.013061,1.812869,11.277120
186,2.421606,0.270000,2.878816
188,2.540129,0.397614,15.310129
191,2.989303,2.892187,-4.307769
192,2.364448,1.187449,-4.828833
193,2.345536,1.545708,-4.414376
195,2.209793,1.079353,-5.060525
196,2.294132,0.310952,-5.771689
197,2.270044,0.822152,-5.108847
175,2.005018,1.717406,7.234572
191,2.976870,2.031837,-5.367732
192,2.340748,0.884230,-14.052900
193,2.332538,1.094373,-8.340224
196,2.274358,0.296572,17.191602
197,2.255601,0.613881,-36.391419
175,1.986396,1.627650,4.876453
191,2.990032,1.627612,-7.106212
192,2.335359,0.734681,6.299004
193,2.338311,0.852106,58.600233
197,2.253386,0.498154,2.959464
198,2.644647,0.063595,-3.481941
201,2.397436,0.799824,-3.252044
191,2.989543,1.388728,-10.569403
193,2.335798,0.694916,3.666655
198,2.648833,0.079953,-5.363063
200,2.717437,0.985208,-4.956413
202,2.881758,0.244341,-5.056451
203,2.637972,0.030092,-3.500931
204,2.471149,0.814717,-3.320198
205,2.501841,0.176540,-3.377512
206,2.771053,0.334343,-3.607108
191,3.004838,1.246924,-22.241065
198,2.667761,0.098830,-18.860685
200,2.734642,0.766835,-9.683610
202,2.903188,0.170768,-9.098476
203,2.652833,0.136089,-5.606631
204,2.486819,0.525875,-5.361110
205,2.509302,0.232846,-5.676243
206,2.782134,0.321297,-5.423692
191,3.009270,1.149261,74.246532
198,2.669958,0.126367,4.865753
199,3.363040,3.577256,-5.318838
200,2.735284,0.672646,28.392552
202,2.902554,0.158122,135.536969
203,2.646720,0.211103,-33.145253
204,2.481851,0.452650,-27.409332
205,2.499086,0.271397,-442.300382
206,2.769271,0.336595,-15.370070
207,2.982164,1.116306,-3.850838
208,2.829021,1.522896,-3.711435
209,2.877956,0.565789,-3.755821
210,2.778345,0.909191,-3.670256
191,3.019999,1.079245,11.326475
199,3.373892,2.882852,-6.042847
200,2.753323,0.619243,2.883341
202,2.910318,0.148450,4.128630
203,2.645392,0.250622,3.039734
204,2.486649,0.414389,3.523205
206,2.773036,0.346949,6.580527
207,3.000297,0.453731,-5.796090
208,2.843706,0.606091,-5.968891
209,2.902925,0.102335,-5.783364
210,2.785684,0.277921,-5.929898
191,3.037378,1.029728,4.966408
199,3.401835,2.429301,-6.941632
207,3.004438,0.223835,-18.421071
208,2.850506,0.292917,-74.398255
209,2.905451,0.061738,-21.785485
210,2.792785,0.061594,-64.781105
211,3.506506,3.357712,-5.625045
199,3.416040,2.087305,-8.078648
207,3.014551,0.110999,5.324684
209,2.916010,0.144498,4.471822
211,3.535714,2.706321,-6.856367
214,3.139922,0.928765,-4.059155
215,3.365792,0.927093,-4.265773
199,3.400421,1.850106,-9.407814
214,3.123632,0.318743,-6.002861
215,3.313816,0.268144,-6.054016
199,3.389123,1.666406,-11.225224
212,3.449627,3.764135,-5.500127
213,4.676169,2.397374,-7.112959
214,3.116534,0.131209,-17.114903
215,3.292443,0.054679,-14.543539
216,3.076667,0.981541,-4.013415
217,3.072800,0.963228,-4.010234
218,2.972443,1.131956,-3.857668
219,3.017307,0.235013,-3.953068
199,3.380527,1.522075,-13.838485
212,3.428669,2.906741,-6.612506
213,4.667597,1.864143,-8.505005
214,3.110686,0.055259,6.768477
215,3.279542,0.031217,9.270567
216,3.068698,0.376509,-6.187549
217,3.057583,0.350148,-6.208139
218,2.965416,0.693081,-5.601377
219,2.996287,0.019801,-6.079827
199,3.383533,1.383204,-18.116607
212,3.429881,2.379326,-8.253193
213,4.669064,1.563046,-10.549145
216,3.063504,0.184824,-28.326826
217,3.061855,0.156939,-29.905963
218,2.971983,0.532682,-12.384092
219,3.000981,0.094617,-24.078619
199,3.363475,1.266773,-25.780944
212,3.411321,2.044250,-10.808589
213,4.672549,1.385214,-13.975032
216,3.058263,0.074696,3.916431
218,2.961177,0.468719,14.771526
219,2.995824,0.146353,4.625875
223,3.202319,0.810953,-4.160318
199,3.342188,1.182523,-45.173788
212,3.383841,1.819326,-15.827857
213,4.665729,1.267344,-21.319496
220,4.293988,1.104850,-6.343488
222,3.936562,0.071789,-6.377602
223,3.191162,0.232933,-6.276855
199,3.302698,1.125079,-226.984938
212,3.355139,1.660340,-30.538148
213,4.654243,1.167758,-50.340494
220,4.295552,0.873471,-8.450885
221,5.861644,1.283173,-8.723472
222,3.931686,0.179686,-10.122584
223,3.178711,0.037214,-20.085323
227,3.290983,0.575955,-4.263068
199,3.290426,1.077674,64.450441
212,3.357710,1.538505,706.998569
213,4.653860,1.101204,86.464921
220,4.304851,0.773574,-13.583934
221,5.880160,1.090481,-10.432637
222,3.938651,0.246393,-49.267417
223,3.182337,0.065036,5.809424
224,3.453403,0.972091,-5.964934
226,5.032862,1.841833,-6.882444
227,3.322841,0.124058,-6.381839
199,3.295461,1.046490,26.737808
212,3.363585,1.452968,24.113641
213,4.660005,1.064897,20.220117
220,4.315608,0.736492,-52.988872
221,5.894624,1.008641,-13.025130
222,3.946864,0.305830,8.408754
224,3.459871,0.826828,-10.353170
226,5.050067,1.446206,-8.442949
227,3.328988,0.058627,-17.751313
199,3.282974,1.042152,16.324589
212,3.351877,1.409799,11.147563
213,4.650313,1.044964,9.840511
220,4.315822,0.733543,16.830443
221,5.890445,0.967897,-17.600298
224,3.456764,0.792021,-244.740729
226,5.027679,1.271317,-10.971052
227,3.317201,0.188526,7.716478
229,3.599504,0.242677,-4.609174
199,3.278227,1.055358,11.123183
212,3.344798,1.385186,6.287770
213,4.649692,1.030183,5.351785
220,4.319266,0.739893,4.485616
221,5.906237,0.945956,-28.406663
224,3.462678,0.785474,6.060410
226,5.034386,1.180171,-16.307709
229,3.618325,0.188274,-6.664808
230,3.543255,0.928617,-6.398631
199,3.270407,1.073013,7.974505
212,3.332531,1.365890,3.597185
221,5.910547,0.908144,-90.714224
226,5.015726,1.100644,-36.836457
229,3.610185,0.335161,-15.006652
230,3.565460,0.859552,-12.313023
234,3.542610,0.817079,-4.594280
237,3.600672,0.168515,-4.663495
199,3.267525,1.084821,5.831358
221,5.915976,0.856483,54.325509
226,5.006523,1.021133,63.114280
228,8.655079,1.438714,-12.311756
229,3.606133,0.389341,14.151518
230,3.575144,0.803476,40.455534
232,3.901628,1.354507,-6.345942
234,3.574185,0.701642,-6.791927
235,4.177191,1.923959,-6.563528
236,3.971024,0.365354,-7.019117
237,3.593531,0.353784,-6.958104
238,4.212462,0.793400,-6.966819
199,3.268413,1.097997,4.169266
221,5.923182,0.795071,17.553008
226,5.005665,0.942936,13.041514
228,8.679534,1.142174,-13.714914
230,3.589563,0.760885,3.785102
232,3.924588,1.097794,-9.540823
234,3.577349,0.652822,-16.746600
235,4.184262,1.473307,-9.433155
236,3.979469,0.426819,-14.183815
237,3.601486,0.408131,-19.993466
238,4.223936,0.707654,-11.458090
221,5.927224,0.732209,8.627891
226,5.003439,0.874748,5.240889
228,8.690185,0.909712,-15.424902
232,3.931551,0.993996,-22.810745
234,3.583537,0.639840,11.945422
235,4.184635,1.249690,-18.802276
236,3.981225,0.462099,24.319057
237,3.598872,0.448949,8.126800
238,4.231887,0.667032,-75.114352
239,3.893430,1.084675,-4.984611
242,3.963688,0.280143,-5.066797
228,8.701978,0.738046,-17.610198
232,3.941446,0.950800,25.319204
235,4.188904,1.121942,63.933231
238,4.233643,0.649156,8.396925
239,3.919318,0.863633,-7.169535
240,4.908629,0.944674,-7.560551
241,4.244210,1.502370,-6.810035
242,3.966671,0.171091,-7.438921
228,8.700117,0.623236,-20.559022
232,3.942931,0.930365,5.015424
235,4.190327,1.043895,7.656065
239,3.933844,0.805242,-15.043301
240,4.898794,0.830405,-10.882796
241,4.242312,1.264743,-10.006666
242,3.963390,0.337671,-19.821537
228,8.695347,0.527569,-24.835143
239,3.924758,0.770069,21.683361
240,4.878886,0.761584,-23.820846
241,4.238451,1.144579,-21.794695
242,3.954415,0.417735,9.407064
225,6.461378,6.110390,-11.567200
228,8.699504,0.435490,-31.586871
240,4.875808,0.691353,33.822510
241,4.232941,1.046403,37.007306
225,6.465222,5.690956,-11.989160
228,8.695549,0.354022,-44.779889
240,4.866739,0.622527,5.523962
241,4.234214,0.957799,6.598440
243,4.959893,0.427814,-7.983655
244,4.582130,0.416565,-7.747233
245,4.426804,2.426987,-6.859755
246,4.866738,1.121852,-7.664572
243,4.924879,0.204744,-13.351085
244,4.570622,0.359226,-13.612615
245,4.425352,1.736850,-9.312787
246,4.837801,0.817745,-11.271198
243,4.917828,0.073423,579.568419
244,4.560821,0.350626,105.975794
245,4.422561,1.404237,-15.498079
246,4.837637,0.684025,-27.739371
247,4.666310,1.577759,-7.257489
248,4.534253,0.322875,-7.720979
249,4.503041,1.031165,-7.426145
250,4.758098,0.035497,-7.880389
243,4.898694,0.037676,5.517351
244,4.556670,0.376138,5.084454
245,4.419469,1.249239,-68.571584
246,4.823821,0.634639,23.177339
247,4.648725,1.242471,-10.226463
248,4.518121,0.385848,-13.874072
249,4.497004,0.867885,-11.776698
250,4.736933,0.187239,-13.581725
245,4.426133,1.172139,18.241661
247,4.667946,1.114854,-19.433335
248,4.535783,0.456798,86.628092
249,4.512213,0.825169,-47.642052
250,4.743093,0.306812,210.481992
251,5.158206,0.434996,-8.157730
252,4.971002,1.164408,-7.741644
253,4.687478,1.854114,-7.415985
254,5.036247,0.989029,-7.906691
245,4.426843,1.123497,5.374365
247,4.667684,1.048127,111.688707
248,4.546100,0.505789,4.898111
249,4.516427,0.807206,11.917294
250,4.743407,0.382219,5.453555
251,5.133023,0.048005,-13.279158
252,4.986310,1.029501,-11.212268
253,4.682086,1.483449,-10.872151
254,5.033185,0.876000,-11.825516
247,4.671416,0.974162,9.455526
251,5.130249,0.101431,-142.712516
252,4.992014,0.911914,-23.605926
253,4.698804,1.266406,-23.472098
254,5.050588,0.789623,-30.115697
251,5.128701,0.156952,7.483025
252,4.992897,0.803402,46.869629
253,4.678138,1.099410,38.315773
254,5.051096,0.705191,22.587285
252,4.990348,0.709059,7.243459
253,4.666756,0.968172,6.561186
255,5.442970,0.519476,-8.316240
256,5.226797,2.031057,-7.775502
257,5.842018,0.625437,-8.620390
258,5.679059,1.540702,-8.201229
259,5.659551,0.964899,-8.380607
255,5.422938,0.425472,-12.029532
256,5.229013,1.447592,-10.376250
257,5.821037,0.337198,-12.220748
258,5.666496,1.094232,-10.645150
259,5.651490,0.714147,-11.412674
255,5.415574,0.389906,-28.135706
256,5.238076,1.164636,-16.458256
257,5.811618,0.182704,-27.611951
258,5.666901,0.878050,-15.910723
259,5.661192,0.601047,-19.973211
255,5.415712,0.373404,27.010385
256,5.239795,0.999694,-57.203196
257,5.809091,0.084894,27.028221
258,5.665126,0.756831,-39.141282
259,5.638747,0.537839,700.061496
260,6.943027,0.583002,-9.535755
261,5.788003,0.355450,-8.653324
262,5.649997,0.424571,-8.486949
264,6.100263,0.017728,-8.856986
265,6.310650,0.530106,-8.930779
256,5.230684,0.891828,22.807929
258,5.662633,0.680630,40.840163
259,5.629459,0.494797,11.097169
260,6.930523,0.295551,-12.092211
261,5.768592,0.127833,-12.363996
262,5.632746,0.391987,-11.912409
264,6.092021,0.088227,-11.958229
265,6.310883,0.449435,-11.512473
256,5.230266,0.814940,6.178417
258,5.672571,0.624947,9.170124
260,6.922575,0.158143,-17.718742
261,5.765435,0.011914,-28.051258
262,5.637464,0.373632,-23.680656
263,6.802863,3.986263,-10.197397
264,6.091459,0.139857,-20.857490
265,6.317054,0.404137,-17.153900
260,6.923767,0.083621,-42.722259
261,5.758489,0.056065,29.226875
262,5.635047,0.360386,62.536232
263,6.850535,3.328419,-11.384413
264,6.085836,0.166596,2627.443012
265,6.309111,0.370800,-42.273315
266,5.674290,0.755850,-8.440442
267,5.766711,0.940293,-8.470075
268,6.292223,0.216826,-9.011017
260,6.925121,0.039017,40.096841
263,6.878626,2.870216,-12.755910
264,6.080937,0.180009,11.770106
265,6.293653,0.342738,38.981301
266,5.663075,0.610039,-11.543126
267,5.767409,0.738089,-11.347996
268,6.316377,0.047437,-11.949410
269,7.208792,2.741371,-10.113230
260,6.933283,0.015352,8.173823
263,6.923186,2.519084,-14.432718
265,6.299305,0.313968,8.553590
266,5.681569,0.525434,-20.636176
267,5.780945,0.625573,-18.858367
268,6.327994,0.028979,-19.680199
269,7.237705,2.084565,-11.556726
263,6.900539,2.245114,-16.397206
267,5.767565,0.550605,-123.374721
268,6.310928,0.066373,-148.739314
269,7.204153,1.694019,-13.298841
263,6.894470,2.035157,-19.018784
267,5.758313,0.503519,15.685611
268,6.275794,0.096285,14.063867
269,7.192903,1.443277,-15.744657
270,6.710176,1.221114,-9.134014
271,6.511032,3.021158,-8.596010
272,6.530715,0.682674,-9.261286
273,6.672881,0.075187,-9.327040
274,6.476713,0.804183,-9.221086
263,6.895905,1.877950,-22.424560
